Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
Navarra de Suelo y Vivienda, S.A.	1102	Gobierno de Navarra	España	España	Empresa pública	CCAA	Parque público	NA	Navarra	Sociedad Pública
Adania Patrimonio S.L.	429	Adania Grupo Empresarial	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
Errotabidea S.A.	335	Caja Rural de Navarra	España	España	Empresa privada	NA	Entidades financieras	Banca	Navarra	Sociedad Privada
Testa Residencial S.L.U	332	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Navarra	Sociedad Privada
Catella We 06-Spain S.L.U.	231	Catella Real Estate AG	Alemania	España	Empresa privada	NA	Consultoría	NA	Navarra	Sociedad Privada
Adania Residencial S.L.	135	Adania Grupo Empresarial	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
Construcciones Industriales y Urbanas,S.A.	58	Construcciones Industriales y Urbanas,S.A.	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
Luri 6, S.A., Soc. de Inversión Inmobiliaria	91	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Navarra	Sociedad Privada
Inmobiliaria Osane, S.L.	87	Caja Rural de Navarra	España	España	Empresa privada	NA	Entidades financieras	Banca	Navarra	Sociedad Privada
Buildingcenter S.A.U.	72	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Navarra	Sociedad Privada
Saldemonte Ribera, S.L.	67	Saldemonte Ribera, S.L.	España	España	Empresa privada	NA	Construcción	NA	Navarra	Sociedad Privada
Ayuntamiento de Pamplona	62	Ayuntamiento de Pamplona	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Navarra	Sociedad Pública
Féix Fraile Oneca	61	Féix Fraile Oneca	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
Gestión Residencial S.A.	214	Grupo Proginsa	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
Apartamentos Tutelados Leyre S.L.	57	Grupo Proginsa	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
Urban Domus Toloño, S.L.	50	Pluralia Gestión S.L.	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
Promoción de Viviendas Marfer, S.L.	50	Pluralia Gestión S.L.	España	España	Empresa privada	NA	Inmobiliaria	NA	Navarra	Sociedad Privada
EMPRESA PROVINCIAL DE VIVIENDA Y SUELO DE CADIZ SA	50	Ayuntamiento de Cádiz	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
AEDAS HOMES OPCO, SLU	50	Castlelake	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
TORREMOLINOS 88 SL	50	Torremolinos 88 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
TRAISA SL	50	Traisa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
JAEN PLAZA PROJECT SL	51	Alvores Asesoramiento Empresarial SL	España	España	Empresa privada	NA	Consultoría y abogacía	NA	Andalucia	Sociedad Privada
HERMOSA GRANADA 5 SL	51	Hermosa Granada SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
RESIDENCIAL MURILLO SA	51	Ibercaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
AYUNTAMIENTO DE VEJER DE LA FRONTERA	52	Ayuntamiento de Vejer de la Frontera	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
GRAMINA HOMES S.L.	53	Lone Star	Estados Unidos	Bermudas	Empresa privada	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
PARQUE CENTRO SL	53	Parque Centro SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ARMUVISSA I,SA	54	Ayuntamiento de Armilla	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
SOCIEDAD PARA EL DESARROLLO DE CARMONA SA	54	Ayuntamiento de Carmona	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
DAMGIM PROPERTY SL	54	Damgim Property SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EDIFICIO ROJO CB	54	Edificio Rojo CB	España	España	Comunidad de bienes	NA	Otros	Comunidad de bienes	Andalucia	Sociedad Privada
HISPANIA RETAIL PROPERTIES SL	54	GO Orange LP	Islas Caimán	Luxemburgo	Soparfi	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
FERTECELTA SL	55	Fertecelta SL	España	España	Empresa privada	NA	Otros	Hostelería	Andalucia	Sociedad Privada
CERRADO DE LA CALERA SL	55	Cerrado de la Calera	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
FONTEPAZO SL	56	Fontepazo SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
GESTIONES OLVENA, S.L.	56	Gestiones Olvena SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
MAPFRE ESPAÑA SA	56	Mapfre	España	España	Empresa privada	NA	Seguros	NA	Andalucia	Sociedad Privada
ALCORES SHOPPING S.L.U.	57	Harrowby Investments y Eurofund Investments Clover	España	Luxemburgo	Soparfi	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
SANTA LUCIA SA	57	Santa Lucía SA	España	España	Empresa privada	NA	Seguros	NA	Andalucia	Sociedad Privada
PROMONTORIA MACC RE SOCIMI SA	58	Cerberus	Estados Unidos	Irlanda	Socimi	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
GENERAL DE GALERIAS COMERCIALES SOCIMI SA	620	General de Galerías Comerciales Socimi	España	España	Socimi	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
HERMAGOR SA	58	Hermagor SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
AYUNTAMIENTO DE PALMA DEL RIO	59	Ayuntamiento de Palma del Río	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
