Inmuebles,Filial propietaria directa,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6
5435,AGENCIA DE L'HABITATGE DE CATALUNYA,Generalitat de Catalunya,España,Agencia de L'Habitatge de Catalunya,España,Empresas públicas o administraciones,CCAA,Parque público,NA,NA,NA,NA,NA,NA,NA
5044,INCASÒL,Generalitat de Catalunya,España,Incasol,España,Empresas públicas o administraciones,CCAA,Parque público,NA,NA,NA,NA,NA,NA,NA
4495,INSTITUT MUNICIPAL HABITATGE I REHAB. DE BARCELONA,Ajuntament de Barcelona,España,Institut Municipal de l'Habitatge i Rehabilitació de Barcelona,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
2059,BUILDINGCENTER SAU,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://buildingcenter.es/es/home-es/,https://www.boe.es/borme/dias/2012/10/16/pdfs/BORME-A-2012-199-08.pdf,NA,NA,NA,NA
2045,SAREB SA,Sareb,España,Sareb,España,Empresas públicas o administraciones,Administración central,Entidades financieras,Sociedad de gestión de activos,NA,NA,NA,NA,NA,NA
1868,DIVARIAN PROPIEDAD SA,Cerberus,Estados Unidos,Promontoria Holding 208 BV,Países Bajos,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2021/11/12/pdfs/BORME-A-2021-217-28.pdf,https://www.boe.es/borme/dias/2018/02/07/pdfs/BORME-A-2018-27-28.pdf,https://www.bbva.com/es/bbva-vende-a-su-socio-cerberus-el-20-de-divarian/,NA,NA,NA
1757,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BBVA,España,BBVA,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA
1667,VIVIENDA ASEQUIBLE ARRENDAMIENTO Y SERVICIOS SLU,CaixaBank,España,Criteria Caixacorp SA,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2021/08/04/pdfs/BORME-A-2021-148-08.pdf,https://www.boe.es/borme/dias/2021/08/04/pdfs/BORME-A-2021-148-08.pdf,https://www.boe.es/borme/dias/2018/08/02/pdfs/BORME-A-2018-148-08.pdf,https://www.criteriacaixa.com/,https://www.caixabank.com/StaticFiles/pdfs/110127_NP_Criteria_AcuerdoMarco_es.pdf,NA
1625,BANCO SABADELL SA,Banco Sabadell,España,Banco Sabadell,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA
1602,"CEVASA, PATRIMONIO EN ALQUILER SL",Compañía Española de Viviendas en Alquiler SA (Cevasa),España,Cevasa Patrimonio en Alquiler SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.bolsasymercados.es/bme-exchange/docs/analisis/2023/04/32955_Analisis_20230404.pdf,https://quienmanda.es/organizations/compania-espanola-de-viviendas-en-alquiler,https://www.cnmv.es/portal/verDoc.axd?t={0e14d608-8b92-4d13-840b-fe6b941c0385},NA,NA,NA
1064,"BUDMAC INVESTMENTS II, S.L.,",Blackstone,Estados Unidos,Alcmena (REIT) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/05/24/pdfs/BORME-A-2019-97-08.pdf,http://www.albiranaproperties.com/,NA,NA,NA,NA
1027,"INMUEBLES EN RENTA, S.A.",Inmuebles en Renta SA,España,Inmuebles en Renta SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
1015,"VIMUSA, HABITATGES MUNICIPALS DE SABADELL S.A.",Ajuntament de Sabadell,España,Vimusa,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
923,INDICESA L'ILLA SL,Indicesa L'Illa SL,España,Indicesa L'Illa SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
893,BCN HOUSING PLACE SL,Azora,España,Azzam Vivienda,España,Empresa privada,NA,Inmobiliaria,NA,https://www.azora.es/wp-content/uploads/2023/04/Grupo-Azora_Pol%C3%ADtica-de-Sostenibilidad.pdf,http://www.boe.es/borme/dias/2019/06/14/pdfs/BORME-A-2019-112-28.pdf,NA,NA,NA,NA
889,LIVINGCENTER ACTIVOS INMOBILIARIOS SAU,CaixaBank,España,Buildingcenter SAU,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2021/12/14/pdfs/BORME-A-2021-237-28.pdf,https://buildingcenter.es/es/home-es/,NA,NA,NA,NA
749,NESTAR RESIDENCIAL SII SA,CBRE,Estados Unidos,Nestar Residencial SII,España,Empresa privada,NA,Inmobiliaria,NA,https://www.azora.es/inversion-inmobiliaria/residencial/,https://nestarhomes.es/aviso-legal,https://www.boe.es/borme/dias/2019/06/14/pdfs/BORME-A-2019-112-28.pdf,https://www.cnmv.es/Portal/verGesDoc.axd?t={f7136115-8e63-48f8-aed7-58a0c192696e},https://www.azora.es/wp-content/uploads/2021/01/ESG-Report_Lazora-2019_EN.pdf,NA
745,SOCIETAT MUNICIPAL D'HABITATGE DE TERRASSA SA,Ajuntament de Terrassa,España,Societat Municipal d'Habitatge de Terrassa SA,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
722,VIVENIO RESIDENCIAL SOCIMI SA,Renta Corporación,España,Renta Corporación Real Estate,España,Socimi,NA,Inmobiliaria,NA,https://www.rentacorporacion.com/es/vivenio-socimi/,https://www.boe.es/borme/dias/2017/06/15/pdfs/BORME-A-2017-112-28.pdf,NA,NA,NA,NA
693,SOCIETAT DE ARRENDAMENTS 2007 NN SLU,Núñez i Navarro,España,Edbalnu SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.nyn.es/es/sociedades,NA,NA,NA,NA,NA
636,ONIX RENTA SLU,Grupo Icyesa,España,Icyesa Cornellá SA,España,Empresa privada,NA,Inmobiliaria,NA,https://www.onixrenta.com/calidad,https://www.icyesa.com/,NA,NA,NA,NA
589,"SBD LLOGUER SOCIAL, SA",Compañía Española de Viviendas en Alquiler SA (Cevasa),España,SBD Lloguer Social,España,Empresa privada,NA,Inmobiliaria,NA,https://www.bolsasymercados.es/API/Market/RelevantFactsFiles/216/HS216618.PDF,NA,NA,NA,NA,NA
572,BUDMAC INVESTMENTS S.L.,Blackstone,Estados Unidos,Alcmena (REIT) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2018/02/14/pdfs/BORME-A-2018-32-08.pdf,http://www.albiranaproperties.com/,NA,NA,NA,NA
548,PROMOCIONES LLADERO SA,Goldman Sachs,Estados Unidos,Elq Holding (DEL) LLC,Delaware,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.axa.es/documents/1119421/173317240/AXA+Business+Operations%2C+S.A.+%28CCAA+2021%29.pdf,https://www.boe.es/borme/dias/2015/12/17/pdfs/BORME-A-2015-240-08.pdf,https://www.boe.es/borme/dias/2022/03/31/pdfs/BORME-A-2022-63-08.pdf,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/d107036dex211.htm,NA,NA
508,SPM PROMOCIONS MUNICIPALS DE SANT CUGAT DEL VALLÈS,Ajuntament San Cugat del Vallés,España,Promusa,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://www.promusa.cat/avislegal/,NA,NA,NA,NA,NA
460,TESTA RESIDENCIAL SOCIMI SA,Blackstone,Estados Unidos,Tropic Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.cnmc.es/sites/default/files/2272271_5.pdf,https://www.boe.es/borme/dias/2019/07/15/pdfs/BORME-A-2019-133-28.pdf,NA,NA,NA,NA
426,FUNDACIO PRIVADA FOMENT DE L'HABITATGE SOCIAL,Fundació Habitatge Social,España,Fundació Habitatge Social,España,Fundaciones,NA,Fundaciones,NA,NA,NA,NA,NA,NA,NA
