Filial propietaria directa,Inmuebles,Fianzas depositadas,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Régimen,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6,Fuente 7,Fuente 8
BANCO SANTANDER SA,50,121441.60000000001,Banco Santander,España,Banco Santander,España,Empresa privada,NA,Entidades financieras,Banca,General,NA,NA,NA,NA,NA,NA,NA,NA
"J. RIBAS E HIJOS, SL",50,27805,J. Ribas e Hijos SL,España,J. Ribas e Hijos SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"CAMPO GARCÍA, CB",52,27325,Campo García CB,España,Campo García CB,España,Comunidad de bienes,NA,Comunidad de bienes,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
LEIROVEN SL,54,38500.78,Leiroven SL,España,Leiroven SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
FERSUAR SL,56,25752,Fersuar SL,España,Fersuar SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"ESPERELA, SL",58,103552,Esperela SL,España,Esperela SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"CONSTRUCCIONES RIO OURO, S.L",59,17340,Construcciones Río Ouro SL,España,Construcciones Río Ouro SL,España,Empresa privada,NA,Construcción,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"BASALNOR, SL",60,23506.71,Basalnor SL,España,Basalnor SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
COMPAÑIA DE JESUS PROV. DE ESPAÑA,61,21028.6,Compañía de Jesús Provincia de España,España,Compañía de Jesús Provincia de España,España,Entidades religiosas,NA,Entidades religiosas,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
CAPITALIA VIVIENDAS EN ALQUILER S.L.,62,19633.89,Capitalia Viviendas en Alquiler SL,España,Capitalia Viviendas en Alquiler SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"CONSTRUCCIONES COSTA CORUÑA,S.L",65,18047.080000000002,Construcciones Costa Coruña SL,España,Construcciones Costa Coruña SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"LA PATIÑA, C.B.",65,26180,La Patiña CB,España,La Patiña CB,España,Comunidad de bienes,NA,Comunidad de bienes,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
PROM. Y CONSTRUCCIONES Y OBRAS BETAN SL,65,65291.5,"Promociones y Construcciones y Obras Betán, S.L.",España,"Promociones y Construcciones y Obras Betán, S.L.",España,Empresa privada,NA,Inmobiliaria,NA,General,https://promobetan.es/aviso-legal/,NA,NA,NA,NA,NA,NA,NA
"FERGO GALICIA RENTA, S.L.",67,283900,Fergo Galicia Renta SL,España,Fergo Galicia Renta SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,http://galegos.galiciadigital.com/es/honorato-l%C3%B3pez-isla
PROVIBER PATRIMONIAL SLU,68,24296,Ralocasa SL,España,Proviber Patrimonial SLU,España,Empresa privada,NA,Inmobiliaria,NA,General,https://infocif.economia3.com/empresa/proviber-patrimonial-sl,NA,NA,NA,NA,NA,NA,NA
SANTIAGO SUR GALICIA S.L.,68,143832.1,Provive SL,España,Santiago Sur Galicia SL,España,Empresa privada,NA,Inmobiliaria,NA,General,https://www.boe.es/borme/dias/2013/02/07/pdfs/BORME-A-2013-26-15.pdf,https://www.boe.es/borme/dias/2013/02/22/pdfs/BORME-A-2013-37-15.pdf,NA,NA,NA,NA,NA,NA
"INMOBILIARIA DE PUENTES Y CALZADAS,S.L.",71,64279.4,"China Communications Construction
Company Limited",China,Grupo Puentes,España,Empresa privada,NA,Construcción,NA,General,https://www.grupopuentes.com/wp-content/uploads/2023/06/einf-puentes-2022con-certificacion.pdf,NA,NA,NA,NA,NA,NA,NA
INMOSUPA SOCIMI SA,72,33615,Fundoland SL,España,Inmosupa Socimi SA,España,Socimi,NA,Otros,NA,General,https://inmosupa.eu/wp-content/uploads/2020/04/ID-INMOSUPA-SOCIMI-S.A.-Final-.pdf,NA,NA,NA,NA,NA,NA,NA
ANTOBECO INVERSIONES INMOBILIARIAS SL,74,23605,Antobeco SL,España,Antobeco SL,España,Empresa privada,NA,Inmobiliaria,NA,General,https://www.boe.es/borme/dias/2015/02/10/pdfs/BORME-A-2015-27-15.pdf,NA,NA,NA,NA,NA,NA,NA
SAREB,74,105061.89,Sareb,España,Sareb,España,Empresa o administración pública,AGE,Entidades financieras,Sareb,General,NA,NA,NA,NA,NA,NA,NA,NA
FARELLAS FEANS S.L.,78,23447.33,Farella Feans SL,España,Farella Feans SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
BUILDINGCENTER S.A.U.,80,43035.47,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,General,https://buildingcenter.es/es/home-es/,https://www.boe.es/borme/dias/2012/10/16/pdfs/BORME-A-2012-199-08.pdf,NA,NA,NA,NA,NA,NA
DIOCESE TUI-VIGO,81,31994.26,Diócesis Tui-Vigo,España,Diócesis Tui-Vigo,España,Entidades religiosas,NA,Entidades religiosas,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"BOSVENTOS ALQUILERES, SL",82,20660.990000000002,Bosventos Alquileres SL,España,Bosventos Alquileres SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
